RA_ICRS|DE_ICRS|SDSS12|SDSS-ID|objID|Sp-ID|SpObjID|umag|e_umag|gmag|e_gmag|rmag|e_rmag|imag|e_imag|zmag|e_zmag|zsp|e_zsp
006.381057|+00.793839|J002531.45+004737.8|7674-301-4-0071-0713|1237678434327921353|4219-55480-0952|4750433482676301824|25.428| 0.814|22.521| 0.119|21.699| 0.087|21.409| 0.095|21.074| 0.292| 0.26695| 0.00008

001.261892|+01.146406|J000502.85+010847.0|2728-301-6-0421-0216|1237657192516354264|388-51793-0379 | 436953372663244800|19.603| 0.060|18.500| 0.010|17.680| 0.008|17.237| 0.008|16.968| 0.020| 0.18132| 0.00002




016.189666|+00.055778|J010445.51+000320.8|4263-301-4-0224-0167|1237663784204501159|4226-55475-0610|4758220773696139264|21.683| 0.130|21.435| 0.044|21.368| 0.058|21.121| 0.065|21.687| 0.392| 0.95176| 0.00003


043.121321|-01.139440|J025229.11-010821.9|3388-301-1-0607-0168|1237660024522604712|4242-55476-0406|4776179097129381888|20.143| 0.106|18.254| 0.017|17.283| 0.008|16.719| 0.010|16.401| 0.018| 0.13575| 0.00002


007.352366|+00.831128|J002924.56+004952.0|4128-301-5-0172-0164|1237663204917379236|1493-52933-0579|1681127764431759360|19.854| 0.068|18.715| 0.013|17.996| 0.010|17.593| 0.011|17.341| 0.030| 0.14972| 0.00001



023.659990|+01.236548|J013438.39+011411.5|7717-301-1-0487-0664|1237678617428165272|4230-55483-0789|4762773576603070464|22.588| 0.440|21.694| 0.093|20.667| 0.057|20.291| 0.061|19.768| 0.139| 0.26195| 0.00006






029.205219|-00.235560|J015649.25-001408.0|4263-301-3-0311-0518|1237663783673332230|4233-55449-0202|4765989922421796864|23.228| 0.523|22.133| 0.106|20.614| 0.040|20.235| 0.039|20.207| 0.147| 0.26395| 0.00017




020.019864|+00.913526|J012004.76+005448.6|4263-301-6-0249-0273|1237663785279881489|4228-55484-0670|4760489066335236096|22.659| 0.335|21.702| 0.070|20.930| 0.053|20.544| 0.056|20.103| 0.136| 0.27095| 0.00003




002.852405|+00.702023|J001124.57+004207.2|2728-301-5-0432-0152|1237657191980204184|388-51793-0584 | 437009722634168320|20.631| 0.172|18.542| 0.014|17.366| 0.008|16.803| 0.008|16.449| 0.017| 0.19943| 0.00005

016.958044|+00.828586|J010749.93+004942.9|4128-301-5-0236-0252|1237663204921573628|3736-55214-0718|4206559501778350080|20.098| 0.083|18.880| 0.015|18.171| 0.011|17.769| 0.012|17.476| 0.031| 0.13638| 0.00002










031.445487|+01.208343|J020546.91+011230.0|8062-301-1-0106-0186|1237680099166912698|4235-55451-0582|4768346175873675264|21.887| 0.245|20.167| 0.026|18.877| 0.013|18.364| 0.013|17.992| 0.030| 0.27136| 0.00004

011.884530|-00.417124|J004732.28-002501.6|4263-301-3-0195-0565|1237663783665730101|3590-55201-0316|4042067614242631680|22.521| 0.473|20.864| 0.058|19.953| 0.056|19.591| 0.053|19.567| 0.164| 0.22064| 0.00005



016.451879|+00.820605|J010548.45+004914.1|4128-301-5-0233-0553|1237663204921377321|3736-55214-0640|4206538061301608448|22.352| 0.360|21.257| 0.063|20.009| 0.032|19.532| 0.035|19.161| 0.085| 0.29963| 0.00004






020.941462|+00.816263|J012345.95+004858.5|4128-301-5-0263-0504|1237663204923343352|4228-55484-0880|4760546790695694336|25.204| 0.999|22.564| 0.154|20.931| 0.057|20.184| 0.047|19.807| 0.120| 0.42913| 0.00014







009.806957|-00.277508|J003913.66-001639.0|4263-301-3-0181-0319|1237663783664812351|3589-55186-0470|4040984045281800192|21.133| 0.149|19.987| 0.039|19.334| 0.030|19.132| 0.032|18.935| 0.097| 0.17957| 0.00003


005.752274|+00.036570|J002300.54+000211.6|4263-301-4-0154-0484|1237663784199913956|4220-55447-0536|4751445032820207616|21.317| 0.144|20.028| 0.024|19.041| 0.016|18.572| 0.015|18.241| 0.045| 0.15771| 0.00004


009.414200|-00.037358|J003739.40-000214.4|2728-301-3-0476-0424|1237657190909346216|3587-55182-0234|4038667374214967296|21.089| 0.168|19.946| 0.028|19.354| 0.026|18.996| 0.028|18.885| 0.098| 0.17361| 0.00004












056.738222|-00.517598|J034657.17-003103.3|4849-301-2-0833-0082|1237666300021506130|1633-52998-0230|1838657820090722304|22.082| 0.494|20.163| 0.040|18.772| 0.018|18.145| 0.016|17.782| 0.040| 0.27351| 0.00005


033.480104|-00.482711|J021355.22-002857.7|2700-301-2-0089-0590|1237657070088028750|4235-55451-0004|4768187296443461632|23.049| 0.626|21.463| 0.065|20.822| 0.059|20.533| 0.066|20.510| 0.230| 0.24596| 0.00003








017.505290|+01.235300|J011001.26+011407.0|7717-301-1-0446-0335|1237678617425477967|3736-55214-0828|4206589738348113920|20.064| 0.070|19.178| 0.017|18.495| 0.015|18.197| 0.014|18.050| 0.045| 0.20576| 0.00003


018.823730|+00.788292|J011517.69+004717.8|4128-301-5-0249-0455|1237663204922425799|4227-55481-0794|4759397251238522880|22.677| 0.381|21.603| 0.074|20.577| 0.044|20.128| 0.047|19.723| 0.115| 0.24509| 0.00004




005.437147|-00.324991|J002144.91-001929.9|4263-301-3-0152-0093|1237663783662911581|4219-55480-0239|4750237494728650752|20.953| 0.102|19.337| 0.015|18.289| 0.010|17.775| 0.009|17.431| 0.020| 0.17409| 0.00002




020.983731|+01.255080|J012356.09+011518.2|7717-301-1-0469-0755|1237678617426985715|4314-55855-0252|4857201565582946304|22.269| 0.308|21.263| 0.059|20.100| 0.032|19.480| 0.027|19.083| 0.070| 0.23237| 0.00003


011.613512|-01.060931|J004627.24-010339.3|4263-301-1-0193-0143|1237663782591856783|3589-55186-0124|4040888937525997568|19.627| 0.083|17.372| 0.008|16.162| 0.005|15.574| 0.004|15.160| 0.008| 0.12408| 0.00002


028.444513|-00.818436|J015346.68-004906.3|4263-301-2-0305-0231|1237663783136067815|3606-55182-0214|4060053974886838272|21.796| 0.184|20.950| 0.042|20.035| 0.028|19.611| 0.028|19.518| 0.082| 0.24241| 0.00005






036.349631|-01.208288|J022523.91-011229.8|4263-301-1-0358-0443|1237663782602670523|3615-56544-0408|4070240423212937216|23.740| 0.598|22.392| 0.112|21.821| 0.094|21.295| 0.087|20.923| 0.222| 0.28936| 0.00004





052.711631|-00.618581|J033050.79-003706.8|4849-301-2-0807-0160|1237666300019802272|414-51869-0027 | 466130014492977152|21.143| 0.182|18.959| 0.013|17.701| 0.007|17.111| 0.007|16.730| 0.015| 0.14994| 0.00003



028.277934|+01.113768|J015306.70+010649.5|7717-301-1-0518-0923|1237678617430197147|3606-55182-0752|4060201859200774144|22.546| 0.399|21.014| 0.049|19.783| 0.025|19.271| 0.024|18.958| 0.061| 0.22616| 0.00007


036.817007|-00.393226|J022716.08-002335.6|4263-301-3-0361-0375|1237663783676608887|3615-55179-0319|4070215936178319360|20.904| 0.130|20.165| 0.033|19.104| 0.020|18.594| 0.018|18.203| 0.047| 0.29884| 0.00003




352.492737|-08.886849|J232958.25-085312.6|1729-301-6-0033-0217|1237652901818597593|646-52523-0540 | 727479816219027456|21.727| 0.579|19.272| 0.025|17.717| 0.011|17.174| 0.011|16.828| 0.028| 0.26322| 0.00005




006.859769|+00.283609|J002726.34+001700.9|2728-301-4-0459-0374|1237657191445102966|4220-55447-0767|4751508529616711680|23.932| 0.955|21.860| 0.081|20.691| 0.045|20.152| 0.040|19.913| 0.137| 0.21768| 0.00015




001.817761|-00.303745|J000716.26-001813.4|4263-301-3-0128-0502|1237663783661339126|4217-55478-0268|4747993666340712448|22.702| 0.342|21.210| 0.052|20.053| 0.029|19.516| 0.025|19.165| 0.067| 0.20082| 0.00007






013.205335|+00.631524|J005249.28+003753.4|4128-301-5-0211-0226|1237663204919935202|4223-55451-0982|4754945328154341376|21.094| 0.153|19.680| 0.022|18.462| 0.012|17.936| 0.012|17.568| 0.027| 0.24456| 0.00004








049.049357|-00.600982|J031611.84-003603.5|4849-301-2-0782-0202|1237666300018163914|803-52318-0002 | 904098213840054272|21.320| 0.111|19.513| 0.013|18.571| 0.009|18.184| 0.009|17.862| 0.020| 0.18107| 0.00005

039.720605|+00.090105|J023852.94+000524.3|4263-301-4-0381-0518|1237663784214790662|4240-55455-0578|4773974575963369472|22.338| 0.323|20.925| 0.044|19.757| 0.023|19.218| 0.021|18.912| 0.066| 0.26226| 0.00005














037.648009|+01.103438|J023035.52+010612.3|7675-301-1-0120-0564|1237678437015487028|3615-55179-0870|4070367393905045504|23.788| 0.817|21.929| 0.091|20.738| 0.043|20.372| 0.047|19.854| 0.098| 0.26877| 0.00007


037.498041|-00.763747|J022959.52-004549.4|4263-301-2-0366-0651|1237663783140065931|3615-56544-0178|4070177201294340096|22.939| 0.452|21.759| 0.081|21.103| 0.067|20.835| 0.078|20.826| 0.262| 0.21752| 0.00002


005.404406|-00.880932|J002137.05-005251.3|2728-301-1-0449-0358|1237657189833834854|4219-55480-0214|4750230622780977152|21.541| 0.188|19.671| 0.020|18.460| 0.011|17.978| 0.010|17.621| 0.023| 0.16766| 0.00003





024.684889|+00.376427|J013844.37+002235.1|2700-301-4-0030-0702|1237657071157904062|4231-55444-0602|4763848073687003136|23.507| 0.670|21.177| 0.041|19.709| 0.019|19.176| 0.018|18.878| 0.051| 0.29906| 0.00006

012.666288|-01.042011|J005039.90-010231.2|2728-301-1-0497-0220|1237657189836980444|3590-55201-0170|4042027482068217856|21.334| 0.151|19.535| 0.017|18.422| 0.010|17.954| 0.010|17.608| 0.023| 0.17518| 0.00002

012.215845|-00.216177|J004851.80-001258.2|4263-301-3-0197-0332|1237663783665860940|3590-55201-0274|4042056069370540032|21.034| 0.141|19.745| 0.036|19.028| 0.026|18.651| 0.023|18.522| 0.067| 0.21763| 0.00002





055.561076|+00.478358|J034214.65+002842.0|4136-301-5-0189-0271|1237663239278231823|1157-52643-0492|1302801476489340928|21.650| 0.149|19.665| 0.016|18.671| 0.010|18.241| 0.011|17.965| 0.023| 0.15989| 0.00003


027.537485|+00.420018|J015008.99+002512.0|4263-301-5-0299-0225|1237663784746287329|4233-55449-0510|4766074584817135616|22.667| 0.378|20.440| 0.032|18.938| 0.014|18.325| 0.013|18.029| 0.027| 0.27583| 0.00005

035.270987|+00.828802|J022105.03+004943.6|4874-301-5-0656-0204|1237666408994701516|4237-55478-0713|4770633985146155008|22.793| 0.827|20.063| 0.033|18.790| 0.018|18.278| 0.018|18.051| 0.046| 0.21484| 0.00006



004.933237|-00.400115|J001943.97-002400.4|4263-301-3-0148-0179|1237663783662649523|4219-55480-0350|4750268006176321536|20.713| 0.081|19.737| 0.018|19.355| 0.019|19.086| 0.021|19.049| 0.071| 0.15650| 0.00002


007.148901|-01.003710|J002835.73-010013.3|2728-301-1-0461-0341|1237657189834621269|4220-55447-0184|4751348275796963328|23.535| 0.725|21.911| 0.087|21.442| 0.078|21.073| 0.083|20.872| 0.275| 0.21328| 0.00002



045.985899|+00.728175|J030356.61+004341.4|4849-301-5-0762-0271|1237666301627465999|1563-52941-0517|1759923715614730240|21.699| 0.232|20.088| 0.028|18.979| 0.015|18.406| 0.015|18.030| 0.035| 0.15647| 0.00002





041.814105|-00.725456|J024715.38-004331.6|4263-301-2-0395-0604|1237663783141966428|4240-55455-0056|4773831089695944704|21.463| 0.180|20.758| 0.049|20.217| 0.047|19.949| 0.052|19.836| 0.164| 0.23024| 0.00004




016.642505|+00.460581|J010634.20+002738.0|4263-301-5-0227-0366|1237663784741568878|3735-55209-0860|4205472634450407424|21.568| 0.144|20.540| 0.032|19.689| 0.023|19.298| 0.024|19.091| 0.062| 0.26741| 0.00003

009.011774|+00.835226|J003602.82+005006.8|4128-301-5-0183-0136|1237663204918100104|4222-55444-0556|4753702330141700096|20.950| 0.125|19.417| 0.017|18.505| 0.011|18.027| 0.012|17.776| 0.030| 0.12032| 0.00002


040.601914|-00.795162|J024224.45-004742.5|4263-301-2-0387-0111|1237663783141441647|707-52177-0282 | 796088786231519232|19.774| 0.044|18.717| 0.010|18.342| 0.010|18.038| 0.010|18.112| 0.032| 0.14016| 0.00001


033.799032|+00.536229|J021511.76+003210.4|4263-301-5-0341-0325|1237663784749039941|4236-55479-0732|4769513307936321536|21.366| 0.162|20.255| 0.033|19.029| 0.017|18.526| 0.017|18.182| 0.038| 0.26871| 0.00004

029.963702|+01.216596|J015951.28+011259.7|8062-301-1-0096-0127|1237680099166257279|4234-55478-0622|4767231271536095232|19.973| 0.070|18.030| 0.008|16.960| 0.005|16.528| 0.005|16.170| 0.010| 0.13004| 0.00002




016.285532|-00.012581|J010508.52-000045.2|4858-301-3-0463-0199|1237666339188834503|3736-55214-0620|4206532563743469568|22.782| 0.425|20.796| 0.033|19.341| 0.015|18.800| 0.014|18.481| 0.037| 0.27007| 0.00006




008.175678|-00.318848|J003242.16-001907.8|4263-301-3-0170-0198|1237663783664091334|4220-55447-0010|4751300447041155072|20.204| 0.065|18.783| 0.011|17.710| 0.007|17.242| 0.007|16.950| 0.016| 0.24298| 0.00002






037.375730|-00.747575|J022930.17-004451.2|4263-301-2-0365-0631|1237663783140000375|3744-55209-0390|4215476540995727360|21.684| 0.262|20.111| 0.033|19.140| 0.022|18.670| 0.022|18.222| 0.050| 0.15173| 0.00003



016.648273|+00.540728|J010635.58+003226.6|4263-301-5-0227-0042|1237663784741568554|396-51816-0589 | 446018296664320000|19.171| 0.052|17.679| 0.008|16.717| 0.005|16.196| 0.005|15.849| 0.010| 0.11022| 0.00001






012.258611|+00.547423|J004902.06+003250.7|4247-301-5-0190-0346|1237663716019667290|3590-55201-0762|4042190209789128704|20.255| 0.065|19.572| 0.019|19.178| 0.019|18.873| 0.022|18.896| 0.069| 0.17041| 0.00001


017.134645|-00.218370|J010832.31-001306.1|4263-301-3-0230-0533|1237663783668023829|3735-55209-0031|4205244760665550848|24.212| 1.098|22.231| 0.133|20.418| 0.042|19.608| 0.029|19.255| 0.080| 0.46923| 0.00019

023.783026|-00.184033|J013507.92-001102.5|4874-301-3-0580-0201|1237666407915978953|4230-55483-0238|4762622118876344320|21.691| 0.159|20.677| 0.028|19.964| 0.024|19.454| 0.021|19.267| 0.064| 0.15350| 0.00001




014.329136|+00.021356|J005718.99+000116.8|4263-301-4-0211-0171|1237663784203649195|4225-55455-0580|4757086627116544000|24.331| 0.784|21.614| 0.055|20.283| 0.027|19.732| 0.023|19.559| 0.079| 0.19479| 0.00007





009.870869|-01.199992|J003929.00-011159.9|4263-301-1-0181-0717|1237663782591070925|3588-55184-0330|4039819662434430976|22.969| 0.456|21.077| 0.048|20.044| 0.029|19.643| 0.030|19.524| 0.091| 0.20601| 0.00002

007.125646|-00.068231|J002830.15-000405.6|2728-301-3-0460-0867|1237657190908298083|4220-55447-0271|4751372190174867456|24.320| 1.662|21.682| 0.105|20.469| 0.054|19.727| 0.041|19.516| 0.136| 0.25288| 0.00011

030.126006|-00.710593|J020030.24-004238.1|4263-301-2-0317-0219|1237663783136854235|4234-55478-0334|4767152106698895360|21.569| 0.127|21.346| 0.049|20.977| 0.052|21.008| 0.077|20.870| 0.222| 0.22711| 0.00001


027.999577|+00.301920|J015159.89+001806.9|2700-301-4-0053-0173|1237657071159410861|3606-55182-0684|4060183167503101952|20.654| 0.103|19.865| 0.022|19.235| 0.020|18.914| 0.022|18.663| 0.070| 0.24050| 0.00001



003.941175|-00.071738|J001545.88-000418.2|2728-301-3-0439-0619|1237657190906921579|4218-55479-0160|4749089879450382336|21.825| 0.221|20.725| 0.042|20.153| 0.038|19.914| 0.042|19.749| 0.140| 0.14613| 0.00002

006.310590|-00.367513|J002514.54-002203.0|4263-301-3-0158-0394|1237663783663305098|4219-55480-0022|4750177846222843904|22.309| 0.250|21.498| 0.064|20.601| 0.047|20.214| 0.045|20.124| 0.163| 0.28861| 0.00003

028.329011|+00.899217|J015318.96+005357.1|4263-301-6-0305-0490|1237663785283551722|3606-55182-0753|4060202134078681088|24.525| 1.393|20.934| 0.047|19.917| 0.029|19.356| 0.026|18.963| 0.063| 0.13198| 0.00009



042.172909|+00.654604|J024841.49+003916.5|2820-301-5-0148-0234|1237657587098583274|4241-55450-0758|4775149953809575936|22.843| 0.391|20.579| 0.029|19.214| 0.014|18.708| 0.013|18.372| 0.030| 0.23743| 0.00003



032.130756|+01.019882|J020831.38+010111.5|7717-301-1-0544-0348|1237678617431900508|4235-55451-0712|4768381910001577984|21.504| 0.146|20.885| 0.038|19.901| 0.023|19.567| 0.026|19.228| 0.065| 0.29635| 0.00004


031.829932|+01.252014|J020719.18+011507.2|8062-301-1-0109-0072|1237680099167109192|4269-55502-0286|4806545409701507072|19.721| 0.097|17.889| 0.010|16.742| 0.006|16.246| 0.006|15.918| 0.014| 0.17506| 0.00003


012.251214|-00.323275|J004900.29-001923.7|4263-301-3-0197-0198|1237663783665860806|393-51794-0034 | 442488039336339456|19.167| 0.054|17.851| 0.009|16.978| 0.007|16.536| 0.007|16.247| 0.017| 0.15622| 0.00002





015.231074|-00.526327|J010055.45-003134.7|4858-301-2-0456-0212|1237666338651504852|4225-55455-0262|4756999215942135808|21.611| 0.347|19.416| 0.023|17.984| 0.011|17.459| 0.010|17.118| 0.024| 0.25748| 0.00003



042.798151|+00.453205|J025111.55+002711.5|4136-301-5-0104-0366|1237663239272661358|4242-55476-0526|4776212082478215168|23.514| 0.661|21.849| 0.080|21.085| 0.060|20.810| 0.073|20.298| 0.157| 0.23193| 0.00003



011.932348|+00.100530|J004743.76+000601.9|4263-301-4-0195-0758|1237663784202601206|3589-55186-0962|4041119285212016640|22.615| 0.243|21.858| 0.061|21.621| 0.069|21.547| 0.092|21.775| 0.427| 0.15292| 0.00003



010.136487|-00.182124|J004032.75-001055.6|2728-301-3-0481-0243|1237657190909673715|3587-55182-0074|4038623393749856256|21.637| 0.196|20.467| 0.030|19.440| 0.020|18.970| 0.018|18.672| 0.055| 0.23631| 0.00004



047.654916|+00.412166|J031037.17+002443.7|4849-301-4-0773-0325|1237666301091316037|1564-52991-0471|1761036971976714240|21.563| 0.143|20.908| 0.033|19.879| 0.021|19.382| 0.020|19.009| 0.058| 0.29284| 0.00002



001.336697|+01.061431|J000520.80+010341.1|2728-301-6-0422-0198|1237657192516419782|4217-55478-0626|4748092072631398400|23.432| 1.117|20.437| 0.036|18.949| 0.016|18.463| 0.016|18.092| 0.038| 0.26568| 0.00004













015.448917|-00.693596|J010147.74-004136.9|4263-301-2-0219-0170|1237663783130431658|4225-55455-0220|4756987671070044160|22.561| 0.392|19.978| 0.024|18.730| 0.012|18.238| 0.012|17.861| 0.025| 0.19089| 0.00003







050.510782|-00.442538|J032202.58-002633.1|4849-301-2-0792-0027|1237666300018819099|809-52647-0106 | 910882206103136256|22.190| 0.372|20.655| 0.041|19.161| 0.018|18.545| 0.016|18.096| 0.036| 0.27043| 0.00008


038.690960|-00.115282|J023445.83-000655.0|4874-301-3-0679-0710|1237666407922467526|3745-55234-0360|4216594194984792064|21.235| 0.189|20.309| 0.033|19.682| 0.033|19.248| 0.030|18.958| 0.094| 0.20726| 0.00002

005.788319|-00.053580|J002309.19-000312.8|2728-301-3-0452-0118|1237657190907773046|4219-55480-0146|4750211931083304960|21.133| 0.151|19.271| 0.015|18.128| 0.009|17.664| 0.009|17.300| 0.022| 0.15973| 0.00003



008.410285|+00.538738|J003338.46+003219.4|4247-301-5-0165-0566|1237663716018029110|3587-55182-0608|4038770178552164352|21.038| 0.165|19.912| 0.033|19.152| 0.027|18.832| 0.029|18.729| 0.087| 0.21217| 0.00004


040.365192|+00.973787|J024127.64+005825.6|7717-301-1-0599-0311|1237678617435504951|4240-55455-0712|4774011409602899968|22.460| 0.242|21.569| 0.049|20.793| 0.038|20.766| 0.051|20.458| 0.123| 0.26476| 0.00001


038.997213|-00.824473|J023559.33-004928.1|4263-301-2-0376-0200|1237663783140720840|3745-55234-0294|4216576053042933760|21.666| 0.298|19.616| 0.026|18.123| 0.011|17.528| 0.010|17.109| 0.022| 0.25447| 0.00003











008.473769|+00.151032|J003353.70+000903.7|4263-301-4-0172-0662|1237663784201093782|4221-55443-0736|4752625908241330176|21.865| 0.239|20.298| 0.030|19.269| 0.020|18.740| 0.017|18.380| 0.049| 0.19104| 0.00003



036.513442|+00.807101|J022603.22+004825.5|2820-301-5-0110-0297|1237657587096092969|3615-56544-0617|4070297872695488512|21.588| 0.140|20.587| 0.028|20.007| 0.025|19.652| 0.027|19.533| 0.076| 0.19233| 0.00002







003.611981|+00.091990|J001426.87+000531.1|4263-301-4-0140-0519|1237663784198996487|4218-55479-0235|4749110495293403136|22.613| 0.277|21.875| 0.070|20.570| 0.036|19.992| 0.031|19.654| 0.088| 0.28674| 0.00006

042.472369|-00.098234|J024953.36-000553.6|2700-301-3-0149-0295|1237657070628831527|4242-55476-0516|4776209333699145728|21.100| 0.205|20.215| 0.040|19.701| 0.040|19.477| 0.058|19.219| 0.161| 0.18217| 0.00003

010.943529|+00.074283|J004346.44+000427.4|4263-301-4-0189-0265|1237663784202207497|3590-55201-0559|4042134409574019072|23.097| 0.468|20.845| 0.035|19.554| 0.019|19.025| 0.017|18.828| 0.051| 0.29841| 0.00004

007.688872|-00.438072|J003045.32-002617.0|2728-301-2-0464-0878|1237657190371689326|4221-55443-0428|4752541245845991424|21.891| 0.296|20.811| 0.049|20.247| 0.046|19.958| 0.051|19.669| 0.148| 0.22933| 0.00001



006.152297|-00.168318|J002436.55-001005.9|2728-301-3-0454-0246|1237657190907904246|4219-55480-0068|4750190490606563328|21.218| 0.145|20.385| 0.032|19.557| 0.025|19.150| 0.024|18.802| 0.071| 0.28589| 0.00003











047.015400|+00.433472|J030803.69+002600.5|3438-301-5-0113-0267|1237660241386078475|811-52669-0425 | 913221692338235392|21.258| 0.121|19.860| 0.018|18.892| 0.012|18.396| 0.012|18.053| 0.026| 0.20453| 0.00002

014.179531|+00.232644|J005643.08+001357.5|4858-301-4-0449-0291|1237666339724788003|4224-55481-0896|4756047589064503296|21.680| 0.238|19.903| 0.023|18.704| 0.013|18.163| 0.012|17.742| 0.031| 0.19716| 0.00004

015.915928|+00.295154|J010339.82+001742.5|4858-301-4-0461-0152|1237666339725574296|4226-55475-0576|4758211427847303168|21.987| 0.370|19.875| 0.024|18.538| 0.013|18.024| 0.012|17.655| 0.032| 0.23980| 0.00004

016.882797|+00.477456|J010731.87+002838.8|4263-301-5-0228-0034|1237663784741634082|3736-55214-0682|4206549606173700096|21.178| 0.100|20.028| 0.021|19.324| 0.017|18.988| 0.018|18.888| 0.051| 0.15437| 0.00002

033.663366|+00.696429|J021439.20+004147.1|2700-301-5-0090-0748|1237657071698707180|4236-55479-0719|4769509734523531264|25.171| 0.861|22.112| 0.090|20.574| 0.037|19.990| 0.034|19.658| 0.084| 0.28864| 0.00009






015.759156|-00.852509|J010302.19-005109.0|4858-301-1-0459-0831|1237666338114831167|3735-55209-0336|4205328598427168768|24.317| 1.227|21.491| 0.069|20.106| 0.029|19.537| 0.026|19.284| 0.075| 0.26309| 0.00008


023.576523|-00.022176|J013418.36-000119.8|2700-301-3-0023-0539|1237657070620574235|4230-55483-0726|4762756259294932992|21.533| 0.253|20.705| 0.065|19.523| 0.034|19.162| 0.036|18.903| 0.096| 0.27348| 0.00003

009.347698|-01.086679|J003723.44-010512.0|4263-301-1-0178-0212|1237663782590873812|3587-55182-0216|4038662426412642304|23.363| 0.690|20.813| 0.046|19.162| 0.017|18.579| 0.015|18.153| 0.033| 0.29226| 0.00005




034.589801|+00.029979|J021821.55+000147.9|4263-301-4-0347-0511|1237663784212562431|4236-55479-0931|4769568008639803392|22.841| 0.442|20.925| 0.040|19.710| 0.022|19.091| 0.019|18.733| 0.052| 0.27330| 0.00003





013.234682|+00.447855|J005256.32+002652.2|4263-301-5-0204-0162|1237663784740061346|4224-55481-0642|4755977770076139520|21.744| 0.149|20.140| 0.022|18.960| 0.012|18.438| 0.012|18.064| 0.025| 0.23618| 0.00002


041.562601|-00.797662|J024615.02-004751.5|4263-301-2-0393-0973|1237663783141835725|4241-55450-0380|4775046049960751104|21.757| 0.183|20.522| 0.031|19.519| 0.019|19.045| 0.018|18.686| 0.044| 0.27222| 0.00002


028.348214|+00.987004|J015323.57+005913.2|4263-301-6-0305-0332|1237663785283551564|3606-55182-0781|4060209830660075520|20.831| 0.117|19.841| 0.023|19.082| 0.017|18.784| 0.019|18.510| 0.052| 0.25561| 0.00002

020.491166|+00.362652|J012157.87+002145.5|4858-301-4-0491-0270|1237666339727540494|4228-55484-0804|4760525899974766592|22.288| 0.366|20.941| 0.043|19.601| 0.019|19.058| 0.018|18.683| 0.057| 0.21557| 0.00005



012.373696|+00.055229|J004929.68+000318.8|4263-301-4-0198-0275|1237663784202797331|4224-55481-0515|4755942860581957632|21.097| 0.158|19.403| 0.019|18.617| 0.015|18.111| 0.014|17.829| 0.039| 0.11628| 0.00002

031.499177|-00.855824|J020559.80-005120.9|4874-301-1-0631-0228|1237666406845579492|4235-55451-0418|4768301095896936448|20.282| 0.090|18.853| 0.013|18.066| 0.010|17.657| 0.010|17.448| 0.029| 0.15505| 0.00002





019.458048|+01.121819|J011749.93+010718.5|4858-301-6-0484-0329|1237666340800823625|4227-55481-0902|4759426938052472832|21.164| 0.145|20.425| 0.032|19.582| 0.021|19.163| 0.022|18.899| 0.063| 0.25402| 0.00002


017.026869|-00.082455|J010806.44-000456.8|4858-301-3-0468-0030|1237666339189162014|3735-55209-0080|4205258229682991104|22.574| 0.573|19.623| 0.020|18.553| 0.012|18.034| 0.012|17.779| 0.033| 0.15367| 0.00003

007.083384|-00.058078|J002820.01-000329.0|2728-301-3-0460-0290|1237657190908297506|4221-55443-0518|4752565984857616384|21.680| 0.224|19.962| 0.023|18.629| 0.012|18.068| 0.011|17.688| 0.026| 0.21774| 0.00004



033.172891|-01.175439|J021241.49-011031.5|4263-301-1-0337-0597|1237663782601294421|4236-55479-0405|4769423422860750848|21.054| 0.147|19.989| 0.037|18.993| 0.021|18.599| 0.022|18.329| 0.057| 0.27919| 0.00003



027.495328|+01.200381|J014958.87+011201.3|7717-301-1-0513-0444|1237678617429868988|4232-55447-0862|4765045441899982848|21.209| 0.148|20.244| 0.032|19.530| 0.023|19.212| 0.026|18.894| 0.070| 0.14203| 0.00002




005.037868|+00.598163|J002009.08+003553.3|4145-301-5-0144-0118|1237663277929988214|4219-55480-0682|4750359265641426944|21.516| 0.148|20.496| 0.029|19.485| 0.017|19.057| 0.020|18.928| 0.055| 0.22479| 0.00001

042.058679|-00.346815|J024814.08-002048.5|4263-301-3-0396-0336|1237663783678902608|4241-55450-0308|4775026258751451136|20.882| 0.131|19.821| 0.024|19.237| 0.022|18.938| 0.024|18.881| 0.082| 0.18073| 0.00002



025.659779|+01.030349|J014238.34+010149.2|4263-301-6-0287-0125|1237663785282371709|3639-55205-0826|4097376897477570560|21.104| 0.121|19.125| 0.012|17.951| 0.007|17.503| 0.007|17.181| 0.016| 0.16613| 0.00002








