RA_ICRS|DE_ICRS|SDSS12|SDSS-ID|objID|Sp-ID|SpObjID|umag|e_umag|gmag|e_gmag|rmag|e_rmag|imag|e_imag|zmag|e_zmag|zsp|e_zsp
038.475796|+00.280883|J023354.19+001651.1|4874-301-4-0678-0417|1237666408459272609|3744-55209-0856|4215604634100363264|25.384| 0.923|22.852| 0.176|21.307| 0.072|20.782| 0.068|20.289| 0.186| 0.36358| 0.00007




044.214987|-00.351697|J025651.59-002106.1|4263-301-3-0411-0483|1237663783679885795|4242-55476-0190|4776119723501481984|24.114| 0.995|21.869| 0.091|20.755| 0.051|20.163| 0.044|19.944| 0.142| 0.19537| 0.00005


033.518705|-00.239028|J021404.48-001420.5|4263-301-3-0339-0284|1237663783675167004|4236-55479-0318|4769399508482846720|20.903| 0.140|20.010| 0.032|19.549| 0.032|19.289| 0.040|19.286| 0.138| 0.11775| 0.00003








013.843850|-00.389218|J005522.52-002321.1|4263-301-3-0208-0310|1237663783666581814|4224-55481-0188|4755852975506386944|20.622| 0.110|19.273| 0.018|18.607| 0.015|18.300| 0.022|18.056| 0.066| 0.12464| 0.00003


013.433153|-00.559952|J005343.95-003335.8|2677-301-2-0065-0609|1237656971302208097|4224-55481-0310|4755886510611034112|21.739| 0.257|21.404| 0.074|21.083| 0.087|20.756| 0.108|21.030| 0.454| 0.14713| 0.00004




043.113264|+00.251743|J025227.18+001506.2|2820-301-4-0154-0207|1237657586562105551|4242-55476-0610|4776235172222398464|20.302| 0.116|19.052| 0.020|18.091| 0.012|17.596| 0.011|17.161| 0.029| 0.15409| 0.00002








027.394620|-00.649699|J014934.70-003858.9|4263-301-2-0298-1013|1237663783135609845|4232-55447-0142|4764847529806983168|21.808| 0.268|20.331| 0.038|19.580| 0.028|19.099| 0.027|18.686| 0.062| 0.12730| 0.00002













006.059361|-00.249265|J002414.24-001457.3|4263-301-3-0156-0188|1237663783663173820|4220-55447-0452|4751421943076024320|21.025| 0.105|19.897| 0.021|19.111| 0.016|18.760| 0.017|18.540| 0.052| 0.24753| 0.00002




043.772522|-00.147689|J025505.40-000851.6|3461-301-3-0011-0409|1237660339089899929|1562-53052-0164|1758700785669007360|21.889| 0.325|20.080| 0.030|19.026| 0.021|18.553| 0.021|18.281| 0.066| 0.18286| 0.00004





022.777818|+00.485188|J013106.67+002906.6|4263-301-5-0268-0360|1237663784744255848|4230-55483-0620|4762727122236796928|21.016| 0.098|20.321| 0.028|19.935| 0.028|19.723| 0.035|19.715| 0.111| 0.15448| 0.00002

012.583267|-00.919066|J005019.98-005508.6|2728-301-1-0497-0809|1237657189836981033|4224-55481-0460|4755927742297075712|21.979| 0.299|22.373| 0.197|21.732| 0.160|21.281| 0.162|20.577| 0.335| 0.19243| 0.00006

006.750979|-00.586575|J002700.23-003511.6|2728-301-2-0458-0438|1237657190371295670|4220-55447-0282|4751375213831843840|20.964| 0.204|19.990| 0.047|19.559| 0.098|19.333| 0.067|19.254| 0.167| 0.13684| 0.00004




004.015237|+00.808346|J001603.65+004830.0|2728-301-5-0440-0198|1237657191980728518|4218-55479-0870|4749285042764312576|20.407| 0.087|19.460| 0.019|18.824| 0.016|18.551| 0.018|18.271| 0.045| 0.25180| 0.00002





007.889050|-00.135588|J003133.37-000808.1|2728-301-3-0466-0390|1237657190908690822|4220-55447-0039|4751308418500456448|22.162| 0.344|20.867| 0.049|20.428| 0.052|20.029| 0.054|19.802| 0.165| 0.22120| 0.00002

043.494279|+00.987846|J025358.62+005916.2|7675-301-1-0159-0576|1237678437018042944|4242-55476-0672|4776252214652628992|22.330| 0.423|21.308| 0.087|20.096| 0.041|19.486| 0.035|19.039| 0.079| 0.28427| 0.00003


053.685387|+00.355504|J033444.49+002119.8|4849-301-4-0813-0152|1237666301093937304|1063-52591-0510|1196971832176044032|20.545| 0.116|18.945| 0.013|17.892| 0.009|17.422| 0.008|17.028| 0.022| 0.12319| 0.00003


037.952111|-00.492868|J023148.50-002934.3|2700-301-2-0119-0574|1237657070089994814|3615-56544-0062|4070145315457134592|23.055| 0.558|22.145| 0.107|21.167| 0.068|20.901| 0.081|20.543| 0.212| 0.28600| 0.00005

042.667474|-00.066723|J025040.19-000400.2|2700-301-3-0151-0329|1237657070628962633|4242-55476-0540|4776215930768912384|22.043| 0.290|21.739| 0.096|20.717| 0.064|20.434| 0.081|19.890| 0.187| 0.36117| 0.00003







007.662610|+00.142007|J003039.02+000831.2|4263-301-4-0167-0093|1237663784200765533|4221-55443-0576|4752581927776219136|20.233| 0.075|19.112| 0.014|18.186| 0.010|17.742| 0.010|17.458| 0.027| 0.22478| 0.00004





034.282369|-00.802126|J021707.76-004807.6|4263-301-2-0344-0879|1237663783138624367|4236-55479-0135|4769349205825875968|25.039| 1.359|21.476| 0.082|21.006| 0.080|20.602| 0.083|20.597| 0.291| 0.27462| 0.00003

018.408072|-00.966530|J011337.93-005759.5|4858-301-1-0477-0554|1237666338116010538|4227-55481-0288|4759258163017609216|23.439| 0.625|22.564| 0.135|21.845| 0.098|21.392| 0.102|22.710| 0.700| 0.14200| 0.00005








002.712965|-00.069960|J001051.11-000411.8|2728-301-3-0431-0561|1237657190906397233|4217-55478-0072|4747939790270951424|23.893| 0.790|22.338| 0.108|21.749| 0.101|21.549| 0.115|21.581| 0.441| 0.15733| 0.00004

016.420036|+00.312016|J010540.80+001843.2|4858-301-4-0464-0555|1237666339725771307|4226-55475-0650|4758231768812417024|22.807| 0.928|21.576| 0.119|20.972| 0.110|20.691| 0.128|20.749| 0.579| 0.29336| 0.00008

006.583848|-00.425988|J002620.12-002533.5|2728-301-2-0457-0449|1237657190371230145|4220-55447-0364|4751397753820213248|21.491| 0.291|21.016| 0.083|20.347| 0.097|19.884| 0.080|20.106| 0.314| 0.22848| 0.00004




034.610755|+00.226137|J021826.58+001334.0|4874-301-4-0652-0247|1237666408457568503|4237-55478-0605|4770604298332205056|22.422| 0.465|20.266| 0.025|19.142| 0.016|18.628| 0.015|18.213| 0.040| 0.24749| 0.00002


