objID,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,dered_u,dered_g,dered_r,dered_i,dered_z
1237666301091316037,21.56334,20.90776,19.879,19.38228,19.00911,20.99841,20.49209,19.57752,19.15368,18.84702
1237666301093937304,20.54508,18.9452,17.8919,17.42165,17.0277,19.94508,18.50373,17.5717,17.17886,16.85556
1237666301095051344,20.92559,19.84436,19.12581,18.72976,18.62777,20.15051,19.27407,18.71219,18.41612,18.4054
1237666301627465999,21.6987,20.08821,18.9792,18.40579,18.02959,21.25406,19.76105,18.74191,18.22587,17.90202
1237666302164664434,21.48989,19.39842,18.29907,17.82622,17.47092,21.10853,19.11782,18.09556,17.6719,17.36151
1237666302168203468,20.78967,18.45475,17.3474,16.84824,16.49946,20.24613,18.05481,17.05733,16.62829,16.34352
1237666338114765068,20.33951,18.50064,17.4625,17.0138,16.70294,20.16974,18.37572,17.3719,16.9451,16.65424
1237666338114831167,24.31711,21.49075,20.10572,19.53662,19.2836,24.15293,21.36995,20.0181,19.47018,19.2365
1237666338115354816,20.77594,19.1507,18.1686,17.70766,17.40023,20.53889,18.97628,18.0421,17.61173,17.33222
1237666338116010538,23.43872,22.56368,21.84548,21.39214,22.70988,23.19786,22.38646,21.71694,21.29467,22.64078
1237666338116927817,21.27563,20.57778,20.03684,19.6867,19.50677,21.0471,20.40963,19.91488,19.59423,19.44121
1237666338651504852,21.61066,19.41633,17.98364,17.45938,17.11834,21.42751,19.28157,17.8859,17.38527,17.0658
1237666338652487684,24.01801,21.41916,20.27752,19.81798,19.60578,23.83362,21.28349,20.17912,19.74336,19.55288
1237666338652684525,22.34919,20.01171,18.74014,18.23976,17.90142,22.22429,19.91982,18.67348,18.18922,17.86559
1237666338652815505,20.32275,18.46325,17.42473,16.99303,16.65418,20.18323,18.36058,17.35027,16.93657,16.61415
1237666339187851483,21.60878,19.80055,18.56218,18.03911,17.66798,21.49338,19.71564,18.5006,17.99242,17.63487
1237666339188637777,21.70545,19.3753,17.99251,17.48724,17.12147,21.51269,19.23346,17.88964,17.40924,17.06617
1237666339188834503,22.78195,20.79609,19.34075,18.80033,18.48057,22.63712,20.68953,19.26345,18.74172,18.43901
1237666339189162014,22.57423,19.62291,18.55274,18.03437,17.7787,22.39652,19.49216,18.45791,17.96246,17.72771
1237666339189621179,22.8285,21.74779,20.97858,20.42103,20.29931,22.67191,21.63256,20.89501,20.35766,20.25438
1237666339724788003,21.68002,19.90283,18.70384,18.16266,17.74168,21.56571,19.81873,18.64284,18.11641,17.70889
1237666339725508846,21.99418,20.27852,18.9242,18.41809,18.06971,21.81584,20.1473,18.82903,18.34593,18.01855
1237666339725574296,21.98699,19.87479,18.53782,18.02385,17.6548,21.79732,19.73523,18.43661,17.9471,17.60039
1237666339725771307,22.80705,21.57602,20.972,20.69111,20.74856,22.65248,21.46229,20.88951,20.62857,20.70421
1237666339726426556,22.51564,21.64268,21.06271,20.90724,20.37705,22.38186,21.54425,20.99132,20.85311,20.33866
1237666339727540494,22.28795,20.94104,19.60082,19.05791,18.68328,22.11614,20.81462,19.50913,18.98838,18.63399
1237666340798202045,21.48992,20.1242,19.06506,18.64654,18.38984,21.36543,20.03261,18.99862,18.59616,18.35412
1237666340800823625,21.16392,20.42537,19.58237,19.16327,18.89919,21.00003,20.30478,19.49491,19.09696,18.85217
1237666406845579492,20.28231,18.85295,18.06632,17.65718,17.44843,20.11793,18.73201,17.9786,17.59067,17.40126
1237666407378714851,21.63346,19.6767,18.236,17.66718,17.26622,21.43361,19.52965,18.12935,17.58631,17.20888
1237666407380549827,20.59012,19.40743,18.87566,18.55239,18.31341,20.43886,19.29613,18.79493,18.49117,18.27001
1237666407382385385,22.95532,22.29552,21.00794,21.28432,20.62542,22.81587,22.19291,20.93353,21.22789,20.58541
1237666407915978953,21.69134,20.67726,19.96383,19.45397,19.2674,21.53037,20.55882,19.87792,19.38883,19.22122
1237666407919780198,22.20082,20.48833,19.42964,18.92905,18.64146,22.06433,20.3879,19.3568,18.87382,18.6023
1237666407920501314,23.03376,21.57556,20.22823,19.686,19.39019,22.86566,21.45187,20.13852,19.61797,19.34196
1237666407922467526,21.23487,20.30865,19.68194,19.24825,18.95774,21.12188,20.22552,19.62164,19.20253,18.92532
1237666408457371795,21.14873,19.89609,18.99105,18.54965,18.2463,20.99763,19.78492,18.91042,18.48851,18.20295
1237666408457568503,22.42177,20.26553,19.14157,18.6277,18.21343,22.23338,20.12691,19.04103,18.55147,18.15938
1237666408459272609,25.38365,22.85183,21.30693,20.78209,20.28868,25.2581,22.75945,21.23993,20.73129,20.25266
1237666408459928002,23.3301,21.28915,20.5482,20.07921,19.754,23.17287,21.17346,20.46429,20.01558,19.70889
1237666408460452080,21.60353,19.22986,17.98318,17.46219,17.07585,21.4423,19.11123,17.89714,17.39695,17.02959
1237666408994439354,21.66824,19.91003,18.82019,18.31791,17.93728,21.47637,19.76886,18.71779,18.24027,17.88224
1237666408994701516,22.79275,20.06298,18.78974,18.27816,18.05074,22.59452,19.91713,18.68396,18.19794,17.99387
1237678434327921353,25.42802,22.52145,21.69894,21.40938,21.07419,25.30574,22.43148,21.63369,21.3599,21.03911
1237678434328183252,22.17437,21.46668,20.59565,20.32003,19.82585,22.05131,21.37614,20.52998,20.27024,19.79055
1237678437015487028,23.78769,21.92949,20.73793,20.37209,19.85448,23.67067,21.8434,20.67548,20.32474,19.8209
1237678437017321519,23.49517,20.51277,19.07501,18.42882,18.05787,23.27639,20.35179,18.95826,18.34029,17.99511
1237678437018042944,22.33009,21.30843,20.09629,19.48559,19.03946,21.88634,20.98193,19.85949,19.30602,18.91215
1237678617419186293,21.51857,20.66578,19.76835,19.34279,18.83712,21.39029,20.57139,19.69989,19.29088,18.80032
1237678617425477967,20.06381,19.17816,18.49482,18.19684,18.0498,19.90002,19.05764,18.40741,18.13056,18.0028
1237678617426985715,22.26923,21.26346,20.10038,19.4797,19.0833,22.1201,21.15373,20.0208,19.41935,19.04051
1237678617428165272,22.58767,21.69433,20.66701,20.29093,19.76775,22.44993,21.59298,20.59351,20.23519,19.72823
1237678617428689062,21.01559,19.33535,18.16657,17.60536,17.23691,20.87377,19.23099,18.09088,17.54797,17.19622
1237678617429868988,21.20938,20.24376,19.5301,19.21206,18.89409,21.09309,20.15819,19.46804,19.165,18.86073
1237678617430197147,22.54561,21.01368,19.7826,19.27084,18.95752,22.41729,20.91926,19.71412,19.21891,18.9207
1237678617431900508,21.50445,20.88535,19.90052,19.56652,19.22781,21.35501,20.77539,19.82077,19.50604,19.18494
1237678617432096982,21.94746,20.15487,18.62617,18.02664,17.61801,21.78507,20.03538,18.53951,17.96092,17.57142
1237678617432686784,19.94929,18.41677,17.26303,16.76103,16.44268,19.78073,18.29274,17.17308,16.69282,16.39432
1237678617434718513,21.8874,21.55212,20.95097,20.7148,20.57137,21.77671,21.47068,20.8919,20.67001,20.53962
1237678617435504951,22.46007,21.56862,20.79344,20.76579,20.45844,22.25319,21.4164,20.68303,20.68207,20.39908
1237678617436094671,20.99856,19.9608,19.1935,18.74304,18.5088,20.80826,19.82078,19.09194,18.66603,18.4542
1237678617436487971,20.47062,19.51568,18.90152,18.5062,18.34634,20.19928,19.31603,18.75672,18.3964,18.26849
1237678617437274205,20.28012,18.58077,17.64159,17.1753,16.77112,19.90385,18.30392,17.44079,17.02304,16.66316
1237680099166257279,19.97291,18.03018,16.95993,16.52825,16.16956,19.83438,17.92825,16.886,16.47219,16.12981
1237680099166912698,21.88715,20.16703,18.87745,18.36363,17.99159,21.75586,20.07043,18.80738,18.3105,17.95392
1237680099167043911,20.48258,19.0887,17.93103,17.37854,16.98779,20.34196,18.98523,17.85599,17.32164,16.94745
1237680099167109192,19.72135,17.88875,16.74181,16.24649,15.9183,19.57524,17.78124,16.66383,16.18736,15.87638
1237680099168288812,20.89873,19.73647,19.1392,18.78417,18.70056,20.73644,19.61706,19.0526,18.7185,18.654
